공통날짜,return
2000,0.0
2001,0.0
2002,-0.0951128767908539
2003,0.2107558860211456
2004,0.07032881183108075
2005,0.12215467590801654
2006,0.09884610934468174
2007,-0.010287862513724932
2008,0.026988786037102974
2009,0.3636855852447276
2010,0.027864687950934997
2011,-0.0329300528166897
2012,0.13937361121938596
2013,-0.03958477695926754
2014,0.008659296462051769
2015,-0.026256993521419636
2016,0.008490427564983305
2017,0.06457311711314073
2018,-0.009455344426237633
2019,0.027046943199070084
2020,0.3976657197735458
2021,0.1458767125480176
2022,-0.06283595768468131
2023,0.030637510217597086
2024,-0.014611325064419534
2025,0.07626797918439987
