공통날짜,return
2000,0.0
2001,0.0
2002,-0.05380173674178468
2003,0.3220994582193062
2004,0.08593214443561781
2005,0.1217152075104515
2006,0.13061467987733488
2007,-0.009340456788920037
2008,-0.03346857402584669
2009,0.37904818277652996
2010,0.0357798818262165
2011,-0.02787780604920609
2012,-0.11377512586613492
2013,-0.031936459957606855
2014,-0.01511999247967677
2015,-0.026135166732037307
2016,0.018578696101829717
2017,0.10843430747088756
2018,-0.025616752741258075
2019,0.026090369020301818
2020,-0.06431373899497173
2021,0.13164054209467557
2022,-0.08110324268368052
2023,0.06646883602230735
2024,0.01002100860092403
2025,0.08369655661482645
