Test_Start,Test_End,Best_Entry,Best_Exit,Best_Vix,OOS_Ret,OOS_MDD
2005-02-22,2006-02-22,1.5,0.0,0.8,0.14459650913057756,-0.06732473029431629
2006-02-22,2007-02-22,1.5,0.0,0.8,0.11084107348294732,-0.0787785572073092
2007-02-22,2008-02-22,2.0,0.0,0.8,-0.016685436792209133,-0.030468768680212865
2008-02-22,2009-02-20,2.0,0.0,0.85,-0.092334587477942,-0.13389564515671526
2009-02-22,2010-02-22,1.5,0.0,0.8,-0.2774250976197174,-0.3365254193573224
2010-02-22,2011-02-22,1.0,0.5,0.75,-0.05748493397142866,-0.07076347524036297
2011-02-22,2012-02-22,1.0,0.5,0.8,0.19770338417515315,-0.05281692994945286
2012-02-22,2013-02-22,1.0,0.5,0.75,-0.10106726308272028,-0.1292326431623949
2013-02-22,2014-02-21,1.5,0.5,0.9,-0.03841932804578827,-0.05010246500059423
2014-02-22,2015-02-17,1.5,0.5,0.9,-0.002620950311378189,-0.03020445206811262
2015-02-22,2016-02-22,2.0,0.5,0.8,0.013571007229173168,-0.016989263081369832
2016-02-22,2017-02-22,2.0,0.5,0.8,0.031498597121571166,-0.016362904706843318
2017-02-22,2018-02-22,2.0,0.5,0.8,0.017876393432644817,-0.030260680556395525
2018-02-22,2019-02-22,2.0,0.1,0.75,-0.022132418226642837,-0.03240998275245799
2019-02-22,2020-02-21,2.0,0.2,0.85,-0.05039335964097423,-0.057616391522938404
2020-02-22,2021-02-22,2.5,0.5,0.75,0.02354858742170584,-0.002512500404014184
2021-02-22,2022-02-22,2.5,0.0,0.9,0.060856537170161096,-0.01724546895072976
2022-02-22,2023-02-22,2.5,0.0,0.9,-0.005708875279092639,-0.005413326934384122
2023-02-22,2024-02-22,2.5,0.0,0.9,-0.04954194048838122,-0.10896720482476774
2024-02-22,2025-02-21,1.5,0.1,0.8,0.021417252731094658,-0.060145608609336154
2025-02-22,2025-12-29,1.5,0.5,0.75,0.018507398942682208,-0.07391079787936794
