공통날짜,return
2000Q1,0.0
2000Q2,0.0
2000Q3,0.0
2000Q4,0.0
2001Q1,0.0
2001Q2,0.0
2001Q3,0.0
2001Q4,0.0
2002Q1,0.0
2002Q2,-0.0846784201812728
2002Q3,0.06073738003723905
2002Q4,0.0
2003Q1,0.16511342377110472
2003Q2,0.11020092697687467
2003Q3,0.013816574894756073
2003Q4,-0.026300175870941467
2004Q1,0.0
2004Q2,-0.04277955294045088
2004Q3,0.0012602293007879517
2004Q4,0.047747183532089954
2005Q1,-0.005160215278611879
2005Q2,-0.038886353839877597
2005Q3,0.11635165855512719
2005Q4,0.0995885243497141
2006Q1,0.038421894806345946
2006Q2,0.10933834830815625
2006Q3,0.05280859217475031
2006Q4,-0.00637412880901822
2007Q1,0.03156724432108504
2007Q2,0.007492412728822284
2007Q3,-0.033961155548254296
2007Q4,0.0297888932735757
2008Q1,0.0
2008Q2,-0.02115885748756252
2008Q3,0.04326162086427532
2008Q4,0.0
2009Q1,0.0
2009Q2,0.0
2009Q3,0.2287424528070494
2009Q4,0.004203091510949886
2010Q1,-0.07365112813615671
2010Q2,0.0
2010Q3,0.0
2010Q4,0.11633129406782783
2011Q1,0.02458493271251716
2011Q2,-0.017366532514704325
2011Q3,0.17504644360126198
2011Q4,0.02635135687953616
2012Q1,0.11648555834116503
2012Q2,-0.08573629996320864
2012Q3,0.06722442722966848
2012Q4,0.003524107430007861
2013Q1,0.006100156165425252
2013Q2,-0.016642689987201198
2013Q3,-0.00756403775683645
2013Q4,-0.015763848382872703
2014Q1,-0.05517943964759375
2014Q2,0.011040413596066223
2014Q3,-0.003250799165304019
2014Q4,-0.022082514713335666
2015Q1,-0.002727303237769041
2015Q2,0.07920456175082324
2015Q3,0.06161828677056258
2015Q4,-0.023033549435286682
2016Q1,-0.016799586431399227
2016Q2,-0.026862466819040365
2016Q3,0.09759979628406446
2016Q4,0.013309777778190757
2017Q1,-0.000689629746655096
2017Q2,-0.10597934910093032
2017Q3,0.061796735155323024
2017Q4,0.08189600333505376
2018Q1,-0.02157132936279904
2018Q2,-0.026440277871647155
2018Q3,-0.005615733944390411
2018Q4,-0.026098073779622477
2019Q1,0.0
2019Q2,0.03703092735703706
2019Q3,-0.0634098834946678
2019Q4,0.05141549961884562
2020Q1,0.03737336246867451
2020Q2,0.0
2020Q3,0.02391845721105157
2020Q4,0.2530051397804205
2021Q1,0.06298955342815193
2021Q2,0.0
2021Q3,-0.04577322423569563
2021Q4,0.049664456132153756
2022Q1,0.0
2022Q2,-0.013978844549965785
2022Q3,0.0
2022Q4,-0.09576464020906028
2023Q1,0.08987450000949604
2023Q2,-0.03550281965720692
2023Q3,0.0319572449092973
2023Q4,0.004882192312753775
2024Q1,-0.07889563812881784
2024Q2,0.0
2024Q3,0.11646362017991807
2024Q4,0.012986890493426939
2025Q1,-0.0011479885853730165
2025Q2,0.0046008213366135475
2025Q3,0.1431967265627434
2025Q4,0.26369639829865843
