공통날짜,return
2000-01,0.0
2000-02,0.0
2000-03,0.0
2000-04,0.0
2000-05,0.0
2000-06,0.0
2000-07,0.0
2000-08,0.0
2000-09,0.0
2000-10,0.0
2000-11,0.0
2000-12,0.0
2001-01,0.0
2001-02,0.0
2001-03,0.0
2001-04,0.0
2001-05,0.0
2001-06,0.0
2001-07,0.0
2001-08,0.0
2001-09,0.0
2001-10,0.0
2001-11,0.0
2001-12,0.0
2002-01,0.0
2002-02,0.0
2002-03,0.0
2002-04,-0.044201854737687785
2002-05,0.0
2002-06,-0.042348445269766
2002-07,0.06073738003723905
2002-08,0.0
2002-09,0.0
2002-10,0.0
2002-11,0.0
2002-12,0.0
2003-01,0.0
2003-02,0.04918334412259329
2003-03,0.11049553950502489
2003-04,0.11020092697687467
2003-05,0.0
2003-06,0.0
2003-07,0.0
2003-08,0.0
2003-09,0.013816574894756073
2003-10,-0.026300175870941467
2003-11,0.0
2003-12,0.0
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.003997374332102455
2004-05,0.0008380370456442243
2004-06,-0.047389010156373534
2004-07,0.0
2004-08,0.0
2004-09,0.0012602293007879517
2004-10,-0.00017109235693868463
2004-11,0.04792647574272335
2004-12,0.0
2005-01,-0.027364813043390446
2005-02,-0.03159640660932361
2005-03,0.05620148950132986
2005-04,0.05991932854909687
2005-05,-0.059049877748691415
2005-06,-0.03631449093734773
2005-07,0.0
2005-08,-0.005979318368754982
2005-09,0.1230668326972133
2005-10,-0.009073067889886599
2005-11,0.03843278256686955
2005-12,0.06858771396427565
2006-01,0.054464273478952
2006-02,-0.039440922305516435
2006-03,0.025221926704391162
2006-04,0.0676095630114073
2006-05,0.03908618538320763
2006-06,0.0
2006-07,0.05280859217475031
2006-08,0.0
2006-09,0.0
2006-10,0.0038295727797901247
2006-11,0.0
2006-12,-0.01016477484375411
2007-01,0.05241054972458414
2007-02,-0.04039672665546301
2007-03,0.021458271789819294
2007-04,0.0
2007-05,0.0
2007-06,0.007492412728822284
2007-07,-0.033961155548254296
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0297888932735757
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,-0.02115885748756252
2008-07,-0.06239248096697514
2008-08,0.07873351860243671
2008-09,0.03147326559866093
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.13778903997269087
2009-08,0.02070324827239145
2009-09,0.05803399132920939
2009-10,-0.06053639026588864
2009-11,-0.01287581041314334
2009-12,0.0828537310767028
2010-01,-0.05329237090500338
2010-02,-0.021504798953205007
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0018310690908449612
2010-11,0.026337371359573813
2010-12,0.08569655694632727
2011-01,0.00639739541584361
2011-02,-0.06251606782977126
2011-03,0.08596199797877846
2011-04,0.040479606993562234
2011-05,-0.028388586847246988
2011-06,-0.02800199982393059
2011-07,0.009523641226243384
2011-08,0.11862883098483379
2011-09,0.040525026351033056
2011-10,0.0
2011-11,0.0
2011-12,0.02635135687953616
2012-01,0.07758431464488003
2012-02,0.03884170717782398
2012-03,-0.0026387943572656614
2012-04,-0.009066378277303166
2012-05,-0.07871329271709482
2012-06,0.0014565418557888066
2012-07,0.019165937415935197
2012-08,0.0009169788957399394
2012-09,0.046195386209797684
2012-10,-0.047591690974698064
2012-11,0.015406567101919233
2012-12,0.03768291521713496
2013-01,0.007984170056878348
2013-02,0.0073216016571124864
2013-03,-0.009123890915296418
2013-04,-0.003693947005567799
2013-05,0.013650765149777477
2013-06,-0.02628865716063311
2013-07,-0.00756403775683645
2013-08,0.0
2013-09,0.0
2013-10,-0.004601497961359224
2013-11,0.009091380328260401
2013-12,-0.020122391410831608
2014-01,-0.05517943964759375
2014-02,0.0
2014-03,0.0
2014-04,-0.00832953834292538
2014-05,0.017597071378324225
2014-06,0.0019021070041869148
2014-07,0.004857200073794088
2014-08,0.010733693098838426
2014-09,-0.01860282352739151
2014-10,-0.007446597535695654
2014-11,0.00685215888992774
2014-12,-0.021450896577754897
2015-01,0.000652941715058919
2015-02,0.0
2015-03,-0.0033780392900603085
2015-04,0.022894744732488315
2015-05,0.022568129364422873
2015-06,0.03176447913887137
2015-07,0.031706863700984966
2015-08,0.028992172216706802
2015-09,0.0
2015-10,0.0
2015-11,-0.00019999999999997797
2015-12,-0.022838117058698204
2016-01,-0.016799586431399227
2016-02,0.0
2016-03,0.0
2016-04,0.0
2016-05,0.0
2016-06,-0.026862466819040365
2016-07,0.0392763155238407
2016-08,0.028132174100776064
2016-09,0.02722135073771126
2016-10,-0.0012792906292049544
2016-11,-0.007376205380486556
2016-12,0.022147324567852067
2017-01,0.013927097708744007
2017-02,-0.0074925150399464124
2017-03,-0.006975705580004932
2017-04,-0.02853881798123692
2017-05,-0.057990760688849674
2017-06,-0.023062148624672707
2017-07,-0.009359927974784799
2017-08,0.031023131712131446
2017-09,0.039578011604016305
2017-10,0.03695236219916476
2017-11,0.016840610165093084
2017-12,0.026062530917437376
2018-01,-0.0007383809079919423
2018-02,-0.028111652942755305
2018-03,0.007473400099811345
2018-04,0.0
2018-05,0.005152226655271264
2018-06,-0.031430567121206066
2018-07,0.014951883973172597
2018-08,-0.02198582070091082
2018-09,0.0017598897039048378
2018-10,-0.02919058253460205
2018-11,0.0031854952159957595
