공통날짜,strategy_ret_net,oos_equity
2022-07-05,0.016344870847838422,1.0163448708478384
2022-07-06,-0.022084619411192996,0.9938992811846458
2022-07-07,0.01975203015257243,1.013530809755225
2022-07-08,0.005950281114035505,1.0195616029910046
2022-07-11,-0.006015152992098649,1.0134287839641445
2022-07-12,-0.010630766000971015,1.002655259703173
2022-07-13,0.00510121769370997,1.0077700224546622
2022-07-14,-0.004052690450623508,1.0036858425082356
2022-07-15,0.008148872811207996,1.0118647507812453
2022-07-18,-0.0002,1.0116623778310891
2022-07-19,0.002885391381599578,1.0145814197371714
2022-07-20,0.0,1.0145814197371714
2022-07-21,-0.0002,1.014378503453224
2022-07-22,0.007378253593783413,1.0218628452917844
2022-07-25,-0.0031777521353024696,1.0186156184531723
2022-07-26,-0.0039815085123064975,1.0145599916975325
2022-07-27,-0.00040666302273084654,1.0141474076645671
2022-07-28,-0.006062558889132785,1.0079990792833393
2022-07-29,0.0,1.0079990792833393
2022-08-01,-0.0,1.0079990792833393
2022-08-02,-0.0,1.0079990792833393
2022-08-03,-0.0002,1.0077974794674827
2022-08-04,-0.005144250258934058,1.002613117022779
2022-08-05,-0.00641776357283732,0.9961785830827014
2022-08-08,-0.0,0.9961785830827014
2022-08-09,0.0,0.9961785830827014
2022-08-10,-0.0002,0.9959793473660848
2022-08-11,0.0170270211695307,1.0129379087981025
2022-08-12,0.002270698382520031,1.0152379852692035
2022-08-16,0.0033511994530135425,1.0186402502501162
2022-08-17,-0.005652208673176062,1.0128826829928061
2022-08-18,-0.0035702268089284005,1.009266462083686
2022-08-19,-0.0,1.009266462083686
2022-08-22,-0.0,1.009266462083686
2022-08-23,-0.0,1.009266462083686
2022-08-24,0.0,1.009266462083686
2022-08-25,-0.0002,1.0090646087912694
2022-08-26,-0.0008648114941189888,1.008191958119278
2022-08-29,0.023416503834264614,1.0318002889722528
2022-08-30,-0.0002,1.0315939289144584
2022-08-31,-0.010802502121455504,1.0204501333088793
2022-09-01,0.024692347671096716,1.0456474427815592
2022-09-02,-0.0,1.0456474427815592
2022-09-06,0.0,1.0456474427815592
2022-09-07,-0.0002,1.045438313293003
2022-09-08,0.0031104224143918557,1.0486900680555336
2022-09-13,0.030081289291733704,1.08023601737008
2022-09-14,-0.01863866590052201,1.0601018591486087
2022-09-15,-0.0,1.0601018591486087
2022-09-16,-0.0,1.0601018591486087
2022-09-19,-0.0,1.0601018591486087
2022-09-20,0.0,1.0601018591486087
2022-09-21,-0.0,1.0601018591486087
2022-09-22,-0.0,1.0601018591486087
2022-09-23,-0.0002,1.059889838776779
